File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
3,tmr,4,628.987,379.891,25.319,1.841,2.395,14.675,2.321,1
3,tmr,4,635.913,380.673,26.277,1.792,2.446,19.983,2.216,1
3,tmr,4,646.795,365.187,24.004,1.759,2.438,22.76,2.361,1
3,tmr,4,738.756,362.899,24.188,1.444,2.672,20.887,2.016,2
3,tmr,5,363.807,442.424,23.836,6.646,2.757,90.32,4.258,2
3,tmr,5,358.469,436.725,23.682,2.165,3.226,4.829,1.951,1
3,tmr,6,463.233,485.921,21.484,3.038,2.534,24.073,2.815,1
3,tmr,6,425.772,449.391,24.593,2.365,2.479,44.676,2.126,2
3,tmr,6,437.772,438.818,22.199,1.682,2.624,27.679,1.809,2
3,tmr,6,446.174,485.751,25.252,1.185,3.203,11.517,1.453,1
3,tmr,7,341.038,513.147,23.448,4.922,3.116,86.145,3.62,1
3,tmr,8,486.506,524.633,24.8,1.83,2.532,20.382,1.77,1
3,tmr,8,401.064,511.587,26.198,1.823,2.952,17.275,1.796,2
3,tmr,9,134.295,584.612,28.419,3.124,2.691,37.36,2.576,1
3,tmr,9,143.843,600.058,25.784,1.575,2.728,10.266,2.081,2
3,tmr,9,144,597,27,1.503,3.265,10.637,1.861,2
3,tmr,9,140.736,583.816,26.757,1.352,3.417,3.845,1.691,1
3,tmr,9,143.651,579.382,27.405,1.389,2.792,21.684,1.648,1
3,tmr,10,705.356,563.048,25.804,3.282,2.487,25.432,3.52,1
3,tmr,10,809.173,618.547,24.954,1.994,2.795,19.981,2.168,2
3,tmr,10,814.675,603.875,23.246,1.454,2.901,29.34,1.93,2
3,tmr,11,581.737,673.091,21.005,3.2,2.586,30.992,3.273,0
3,tmr,11,638.251,621.42,21.378,2.22,2.85,29.211,2.275,0
3,tmr,11,552.276,671.025,23.285,2.098,2.933,29.415,2.245,2
3,tmr,11,551.918,670.315,23.263,2.098,2.921,36.592,2.281,2
3,tmr,11,659.188,589.636,23.208,1.987,3.05,40.395,2.378,1
3,tmr,11,646.724,587.023,23.824,1.663,2.457,20.079,2.116,1
3,tmr,11,655.378,588.822,23.737,1.591,2.705,2.622,2.119,1
3,tmr,12,64.288,697.315,25.549,3.98,2.673,87.742,3.085,1
3,tmr,12,32.162,693.7,20.821,3.329,3.018,43.712,2.573,2
3,tmr,12,81.088,691.088,25.994,1.932,2.696,37.752,2.023,1
3,tmr,12,36.362,685.739,25.757,1.873,2.477,41.882,1.923,2
3,tmr,12,68.821,680.364,22.565,1.559,2.784,21.705,1.722,1
3,tmr,13,864.324,654.701,22.991,3.89,2.747,59.716,4.119,2
3,tmr,13,915.32,714.366,24.276,2.956,2.53,9.133,3.227,1
3,tmr,13,915.86,720.72,24.387,2.077,2.642,7.643,2.693,1
3,tmr,13,920.99,703.108,21.488,1.877,2.502,32.631,2.851,1
3,tmr,14,324.419,730.43,24.569,2.403,3.162,6.549,2.188,1
3,tmr,14,263.327,723.811,26.061,2.221,2.813,14.877,2.029,2
3,tmr,15,548.593,898.083,25.97,1.884,2.971,23.85,2.109,1
3,tmr,15,444.875,883.021,24.867,1.854,2.678,14.785,2.238,2
4,Cy5,1,240.74,167.766,23.402,1.994,2.964,16.811,3.09,2
4,Cy5,1,215.732,39.642,24.295,0.839,2.194,18.452,1.78,1
4,Cy5,2,251.183,257.594,27.244,0.876,2.84,8.648,1.749,2
4,Cy5,2,248.951,262.239,26.554,0.807,2.564,4.176,1.989,2
4,Cy5,2,195.247,218.338,26.219,0.688,3.056,14.796,1.59,1
4,Cy5,3,544.28,281.132,27.411,0.987,2.996,10.299,1.835,1
4,Cy5,3,447.058,230.893,23.044,0.943,2.911,6.843,2.035,2
4,Cy5,4,529.07,311.255,24.665,2.772,2.813,39.173,3.935,1
4,Cy5,4,545.563,371.57,24.837,1.597,2.467,9.795,2.373,2
4,Cy5,4,539.112,369.97,25.081,1.484,2.857,9.001,2.539,2
4,Cy5,4,567.7,367.688,22.542,1.421,2.427,25.441,2.207,2
4,Cy5,4,532.111,377.456,25.222,1.156,2.373,15.312,1.877,2
4,Cy5,4,550.685,371.782,23.256,1.104,3.169,20.847,2.045,2
4,Cy5,5,473.319,522.679,25.288,1.928,2.97,8.961,2.385,1
4,Cy5,5,535.677,488.491,23.631,1.927,2.812,32.797,1.966,2
4,Cy5,5,465.053,494.921,22.386,1.737,2.33,24.583,2.05,1
4,Cy5,6,374.632,508.642,22.028,2.657,3.072,40.205,2.897,1
4,Cy5,6,371.891,503.599,22.801,1.536,2.012,2.311,2.141,1
4,Cy5,6,371.785,492.851,22.086,1.351,2.309,10.857,1.972,2
4,Cy5,6,364.228,487.136,22.495,0.892,2.621,16.036,1.539,2
4,Cy5,7,617,600,27,2.289,2.961,25.419,2.094,1
4,Cy5,7,626.001,556.557,23.34,2.137,3.131,19.51,1.732,2
4,Cy5,7,620.968,573.39,27.526,1.454,2.514,16.555,1.639,2
4,Cy5,8,778.532,612.495,23.64,2.452,2.796,21.733,2.514,0
4,Cy5,8,828.341,665.436,34.298,1.529,3.274,25.599,2.019,1
