File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
1,a594,13,240.733,897.328,25.863,4.702,2.78,151.093,7.707,2
1,a594,14,722.109,789.937,24.488,4.544,3.105,62.935,7.995,2
1,a594,14,733.129,826.94,22.013,2.153,2.717,12.56,4.793,1
1,a594,15,409.063,849.757,22.703,5.386,2.621,16.942,7.661,1
1,a594,15,349.894,871.319,26.414,2.865,2.973,70.246,4.367,2
1,a594,16,579.524,825.736,24.463,7.198,2.926,23.326,10.398,1
1,a594,16,515.63,873.26,21.28,3.771,3.063,14.379,5.81,2
1,a594,17,861.126,932.395,24.75,3.32,2.93,8.582,6.544,1
1,a594,17,793.453,901.262,25.265,2.107,2.576,67.35,3.661,2
1,a594,18,950.256,994.097,23.321,6.635,3.738,55.421,9.408,1
1,a594,18,989.881,955.58,22.625,3.798,2.846,31.871,5.899,2
1,a594,19,198.909,984.006,24.679,2.214,2.857,51.698,4.21,2
1,a594,19,239.368,938.322,22.917,2.092,2.753,32.876,3.359,1
1,tmr,1,119.848,40.965,26.414,3.477,3.287,33.347,3.927,2
1,tmr,1,114.122,41.694,25.48,2.314,3.401,2.26,2.898,2
1,tmr,1,153.791,36.826,24.731,1.532,3.242,5.749,2.171,1
1,tmr,2,856.522,121.292,22.835,5.752,2.705,46.814,5.459,1
1,tmr,2,795.253,166.516,23.844,2.337,2.575,22.524,2.877,2
1,tmr,2,809.667,151.998,25.2,1.724,2.643,26.251,2.572,0
1,tmr,3,492.085,177.676,22.199,3.73,2.815,47.755,3.558,2
1,tmr,3,544.294,269.863,21.239,2.917,2.546,15.21,3.06,1
1,tmr,3,546.285,276.365,22.087,2.419,2.757,40.499,2.627,1
1,tmr,4,288.798,287.192,22.977,2.261,2.586,3.523,2.802,2
1,tmr,4,291.973,283.42,22.456,1.817,2.883,15.717,2.433,2
1,tmr,4,404.982,318.728,23.376,1.59,2.735,21.125,2.073,1
1,tmr,5,859.973,406.327,25.285,3.563,2.681,15.483,3.059,3
1,tmr,5,758.088,355.455,24.779,2.891,2.656,24.206,2.888,2
1,tmr,5,881.783,387.587,25.681,2.092,2.62,22.184,2.315,1
1,tmr,5,891.549,329.302,25.113,1.843,2.416,12.361,1.974,4
1,tmr,6,222.947,388.972,24.151,3.125,2.664,30.795,3.294,2
1,tmr,6,218.596,388.964,23.442,3.083,2.597,8.57,3.202,2
1,tmr,6,151.052,382.379,22.336,2.04,2.412,21.448,2.306,1
1,tmr,7,380.359,462.783,21.937,4.394,2.545,31.888,4.362,1
1,tmr,7,374.347,460.278,24.506,4.164,2.814,23.655,4.119,1
1,tmr,7,433.601,465.129,24.398,2.327,4.024,50.214,2.685,2
1,tmr,8,710.655,565.212,22.127,3.428,2.65,40.286,3.659,0
1,tmr,8,699.058,559.65,23.609,2.483,3.097,31.01,2.803,0
1,tmr,8,693.736,568.187,22.673,1.825,2.521,16.882,2.447,0
1,tmr,9,326.152,583.723,25.674,6.587,2.736,63.68,6.447,1
1,tmr,9,305.793,574.935,25.829,3.415,2.707,42.363,4.085,2
1,tmr,10,181,559,24,2.506,2.896,13.539,2.936,1
1,tmr,10,121.574,573.891,21.606,2.315,4.701,23.423,2.565,2
1,tmr,11,258.451,646.783,22.742,4.644,2.844,43.242,3.898,1
1,tmr,11,276.395,674.844,22.157,3.097,2.801,45.766,3.052,2
1,tmr,12,470.166,804.69,27.016,3.597,2.9,51.918,3.495,2
1,tmr,12,523.559,714.772,27.254,2.733,2.605,30.025,2.743,1
1,tmr,13,273.659,811.165,28.574,3.475,2.714,88.158,3.724,1
1,tmr,13,273.563,800.515,28.36,2.989,2.091,31.032,3.45,1
1,tmr,13,245.21,889.238,27.458,1.52,2.404,12.996,2.009,2
1,tmr,14,726.379,802.484,22.862,5.782,2.876,29.336,5.466,2
1,tmr,14,731.886,828.601,22.107,2.552,2.567,32.278,2.897,1
1,tmr,15,402.944,844.949,24.341,5.998,2.814,56.973,4.955,1
1,tmr,15,358.095,863.009,24.193,2.098,2.676,19.812,2.784,2
1,tmr,15,361,872,26,1.593,3.621,7.849,2.216,2
1,tmr,16,588.954,842.977,25.535,2.173,2.664,45.172,2.949,1
1,tmr,16,491.663,886.085,22.703,1.76,2.464,12.878,2.144,2
1,tmr,17,855.379,938.467,25.031,4.306,2.757,58.488,4.02,1
1,tmr,17,796.415,907.197,25.295,1.35,2.854,9.956,1.941,2
1,tmr,17,794.65,911.057,25.649,1.095,2.843,1.605,1.751,2
1,tmr,18,971.222,950.484,23.924,5.616,2.897,73.101,5.419,2
1,tmr,18,965.44,979.333,26.162,2.237,3.63,20.779,3.001,1
1,tmr,19,185.93,986.741,27.451,2.644,2.544,20.743,2.998,2
1,tmr,19,196.672,974.781,23.782,1.907,2.837,24.809,2.419,2
1,tmr,19,229.373,949.103,22.327,1.797,3.029,21.203,2.165,1
2,Cy5,1,551.863,241.914,23.858,5.563,2.846,72.737,5.696,2
2,Cy5,1,500.366,187.643,25.34,3.376,3.071,26.849,3.751,1
2,Cy5,2,252.297,345.305,23.931,4.309,2.748,19.63,4.212,2
2,Cy5,2,227.067,260.169,22.733,2.506,2.524,7.862,2.68,1
2,Cy5,2,230.523,255.755,24.262,2.463,2.855,14.271,2.53,1
2,Cy5,3,399.38,258.746,24.156,3.431,2.805,21.18,3.607,1
2,Cy5,3,385,315,26,1.832,3.946,7.834,2.287,2
2,Cy5,4,197.642,375.544,28.212,3.54,2.812,43.658,3.296,3
2,Cy5,4,171.304,261.636,23.031,2.843,3.043,19.422,2.681,1
2,Cy5,4,167.805,328.289,27.109,2.508,2.738,21.222,2.618,4
2,Cy5,4,113.168,423.222,26.808,1.454,3.072,11.68,1.926,2
2,Cy5,5,293.463,444.677,23.483,6.304,2.779,25.183,4.803,2
2,Cy5,5,340.157,497.339,24.528,5.698,3.024,9.229,4.728,1
2,Cy5,6,384.326,553.304,24.799,4.346,2.671,28.766,4.348,1
2,Cy5,6,434.388,593.058,24.886,2.814,2.954,12.186,3.371,2
2,Cy5,7,68.52,538.631,24.308,6.609,2.724,63.68,5.706,0
2,Cy5,7,77.915,553.332,25.473,3.756,3.774,18.222,4.164,0
2,Cy5,8,824.942,607.162,25.712,2.235,2.675,13.192,3.484,2
2,Cy5,8,774.28,605.687,22.788,1.679,2.262,17.224,2.596,1
2,Cy5,9,569.868,587.242,25.828,5.974,2.751,62.531,6.976,2
2,Cy5,9,629.141,643.215,23.737,3.638,3.109,40.85,4.095,1
2,Cy5,9,626.536,635.169,24.093,3.412,2.522,16.94,3.984,1
2,Cy5,10,292.707,737.672,26.028,4.626,3.126,47.496,4.791,1
2,Cy5,10,301.664,767.394,22.838,3.036,3.008,14.018,3.275,2
2,Cy5,11,759.583,881.696,24.19,5.023,3.084,22.591,5.617,1
2,Cy5,11,697.143,825.997,24.021,4.508,2.567,76.04,5.617,2
2,a488,1,499.316,185.742,26.307,3.584,2.996,44.726,2.494,1
2,a488,1,549.97,239.165,25.233,0.756,3.279,6.941,1.253,2
2,a488,2,234,262,25,2.247,2.567,22.392,1.814,1
2,a488,2,257,353,24,1.079,2.32,8.658,1.352,2
2,a488,3,385.636,313.944,25.367,1.187,4.019,12.01,1.336,2
2,a488,3,411.617,256.546,23.804,1.087,3.415,6.863,1.416,1
2,a488,4,178,257,23,1.861,4.034,14.453,1.886,1
2,a488,4,112.544,413.665,27.231,1.685,2.84,22.898,1.479,2
2,a488,4,200,368,29,1.567,2.58,19.31,1.451,3
2,a488,4,177,329,28,0.631,2.014,13.726,1.264,4
2,a488,5,296.225,447.952,23.27,3.059,2.844,54.106,2.438,2
2,a488,5,327.11,498.715,25.729,1.301,2.536,10.996,1.521,1
2,a488,6,445.237,589.933,25.331,1.086,2.75,12.283,1.37,2
2,a488,6,387.92,557.554,25.099,0.984,2.32,18.058,1.518,1
2,a488,6,450.597,596.886,26.104,0.941,2.643,13.541,1.305,2
2,a488,7,76.102,553.042,25.454,1.983,2.975,23.592,1.98,0
2,a488,7,70.343,568.312,24.787,1.326,2.402,10.115,1.652,0
2,a488,7,76,572,23,0.917,2.014,11.812,1.422,0
2,a488,8,821.974,605.041,26.856,2.452,3.018,16.818,2.24,2
2,a488,8,789.718,594.219,28.331,1.065,2.479,8.765,1.636,1
2,a488,9,626.766,640.287,23.812,2.757,3.244,22.209,2.384,1
